"country","year","population","dNNdt","years_ed","calories_pd","GDP_pc","HIv_prev"
"Argentina",1961,21021001,0.0068527097,5.62108046,6177.7548954,5862.841649,0
"Argentina",1962,21356001,0.006734606,5.70398853,5607.1577628,5678.2332249,0
"Argentina",1963,21690001,0.006636138,5.78847204,5876.1877559,5456.4404819,0
"Argentina",1964,22020001,0.0065560429,5.87439334,5475.441373,5927.1266584,0
"Argentina",1965,22347001,0.0063557617,5.96161626,5867.8475919,6371.7473377,0
"Argentina",1966,22670001,0.0061526979,6.05000605,5982.5028456,6321.6042349,0
"Argentina",1967,22989001,0.0061352384,6.13942939,6257.0839415,6399.9517849,0
"Argentina",1968,23313001,0.0062931741,6.22975443,6005.1771286,6578.7566222,0
"Argentina",1969,23649001,0.0066162553,6.32085074,6263.9259124,7038.2803827,0
"Argentina",1970,24003001,0.0072165743,6.41258937,6530.8103418,7302.9662167,0
"Argentina",1971,24377001,0.0073524683,6.50484277,6655.3581908,7530.9370181,0
"Argentina",1972,24769001,0.0074721205,6.59748485,6102.5778006,7635.5655588,0
"Argentina",1973,25176001,0.0074560206,6.69039098,6491.6718056,7962.9738793,0
"Argentina",1974,25592001,0.007312972,6.78343795,6851.4236321,8335.0836019,0
"Argentina",1975,26012001,0.0074193106,6.876504,6416.2796114,8123.4973046,0
"Argentina",1976,26438001,0.0073453569,6.96946882,6446.0026982,7966.2018297,0
"Argentina",1977,26869001,0.0072848521,7.06221354,6510.1360885,8305.3814243,0
"Argentina",1978,27301001,0.007246471,7.15462073,6606.3056424,7808.2476833,0
"Argentina",1979,27730001,0.0072213758,7.2465744,6212.9986783,8227.9098481,0
"Argentina",1980,28154001,0.0074826676,7.33796002,5785.528922,8206.9798873,0
"Argentina",1981,28570001,0.0071415207,7.42866448,6031.6360324,7603.6499272,0
"Argentina",1982,28979001,0.0067615095,7.51857613,6830.3395367,7243.9464278,0
"Argentina",1983,29387001,0.0062762468,7.60758477,6726.1317909,7383.6504828,0
"Argentina",1984,29801001,0.0062672033,7.69558161,7252.7197929,7425.7311271,0
"Argentina",1985,30227001,0.0066163985,7.78245935,7476.978864,6835.2492838,0
"Argentina",1986,30667001,0.0065726688,7.86811209,7513.4766568,7224.5678932,0
"Argentina",1987,31117001,0.0064080052,7.9524354,7379.6622322,7299.8709562,0
"Argentina",1988,31575001,0.0062828829,8.03532628,7911.6486514,7057.1341871,0
"Argentina",1989,32037001,0.0061406676,8.11668318,7472.8703529,6523.7981583,0
"Argentina",1990,32498001,0.0061200518,8.196406,7762.5209083,6436.6095938,0.3
"Argentina",1991,32956001,0.005953299,8.27439607,7779.2338463,7017.8433445,0.3
"Argentina",1992,33413001,0.0055934907,8.35055617,8228.7307392,7587.1712443,0.3
"Argentina",1993,33867001,0.0055152857,8.42479052,8221.953181,7918.6645577,0.3
"Argentina",1994,34320001,0.0052887529,8.49700478,8768.9832431,8275.0162192,0.3
"Argentina",1995,34772001,0.0050080832,8.56710607,8797.1651865,7942.3068757,0.3
"Argentina",1996,35223001,0.0050723135,8.63500294,9000.8809118,8285.1134314,0.3
"Argentina",1997,35671001,0.0049728344,8.70060538,9522.6290878,8853.0575023,0.3
"Argentina",1998,36111001,0.0047958642,8.76382482,10828.338998,9089.2062071,0.3
"Argentina",1999,36535001,0.0048218664,8.82457417,11407.84392,8685.1049637,0.3
"Argentina",2000,36939001,0.0041504219,8.88276772,10973.793302,8521.4564256,0.4
"Argentina",2001,37318001,0.0035031373,8.93832127,10602.559087,8068.3519011,0.4
"Argentina",2002,37676001,0.0038394661,8.99115201,11068.23848,7131.7008908,0.4
"Argentina",2003,38023001,0.004563388,9.04117861,13105.21391,7693.5247795,0.4
"Argentina",2004,38372001,0.0048982443,9.08832115,NA,8300.457306,0.4
"Argentina",2005,38732001,0.0047750461,9.1325012,NA,8960.6437211,0.4
"Argentina",2006,39105001,0.0047362259,9.17364172,NA,9612.9049094,0.4
"Canada",1961,18284001,0.0081011614,8.38022294,8246.7734478,8833.7450042,0
"Canada",1962,18631001,0.0080902394,8.44490309,9814.6867885,9277.9093444,0
"Canada",1963,18965001,0.0081895638,8.5093696,10504.691854,9567.3816913,0
"Canada",1964,19309001,0.0078614356,8.57376055,9755.1897617,10000.364316,0
"Canada",1965,19678001,0.0080901096,8.6382023,10500.036915,10473.916687,0
"Canada",1966,20078001,0.007814494,8.70280945,10839.318233,10947.135109,0
"Canada",1967,20502001,0.006692799,8.76768486,9662.9065401,11079.269992,0
"Canada",1968,20932001,0.0062196153,8.83291965,10097.672632,11480.064092,0
"Canada",1969,21343001,0.0060707026,8.8985932,11431.945405,11913.352219,0
"Canada",1970,21717001,0.00548454,8.96477314,12120.358556,12051.490515,0
"Canada",1971,22048001,0.0050593725,9.03151537,12453.260893,12562.925689,0
"Canada",1972,22344001,0.0053265757,9.09886403,10432.289576,13073.494335,0
"Canada",1973,22615001,0.0060259372,9.16685154,10778.390584,13838.895343,0
"Canada",1974,22877001,0.0063047639,9.23549857,10191.160806,14205.689023,0
"Canada",1975,23142001,0.0057309817,9.30481403,11349.633992,14317.262517,0
"Canada",1976,23416001,0.0051201078,9.3747951,10243.365823,14903.391836,0
"Canada",1977,23695001,0.0043563554,9.44542724,10766.543294,15223.680742,0
"Canada",1978,23976001,0.0043256135,9.51668412,10871.321717,15681.200364,0
"Canada",1979,24251001,0.0056235781,9.58852771,11504.230219,16171.145282,0
"Canada",1980,24516001,0.0053825396,9.66090823,10918.706761,16176.706392,0
"Canada",1981,24770001,0.0052339369,9.73376413,11648.418145,16473.449799,0
"Canada",1982,25016001,0.0043619965,9.80702215,11444.51861,15780.405521,0
"Canada",1983,25267001,0.0041682593,9.88059727,10808.814651,16077.413304,0
"Canada",1984,25539001,0.0040332188,9.95439273,10336.807314,16836.824728,0
"Canada",1985,25843001,0.0043675175,10.0283,11662.23527,17583.068955,0
"Canada",1986,26183001,0.0056953421,10.102199,11677.237519,17863.10397,0
"Canada",1987,26555001,0.0056087009,10.1759575,11818.57482,18349.154593,0
"Canada",1988,26944001,0.0077540214,10.2494319,10804.039626,18994.076729,0
"Canada",1989,27331001,0.0064755829,10.3224668,10707.740472,19109.487069,0
"Canada",1990,27701001,0.0050849587,10.3948948,11148.321181,18873.388505,0.1
"Canada",1991,28051001,0.0065455221,10.4665371,10491.540653,18263.459145,0.2
"Canada",1992,28385001,0.0061702061,10.537203,10353.594216,18147.714305,0.2
"Canada",1993,28703001,0.0056254463,10.60669,12544.95573,18310.116435,0.2
"Canada",1994,29008001,0.0052938789,10.674784,12316.541205,18942.754421,0.2
"Canada",1995,29302001,0.004884231,10.7412589,12057.833099,19238.784547,0.2
"Canada",1996,29585001,0.0040207488,10.8058773,12663.189506,19331.604705,0.2
"Canada",1997,29856001,0.0035118969,10.8683896,12534.887726,19962.82092,0.2
"Canada",1998,30124001,0.0038014436,10.9285346,13545.194802,20613.398803,0.2
"Canada",1999,30398001,0.0039180028,10.9860396,13229.645557,21564.058348,0.2
"Canada",2000,30687001,0.003853505,11.0406199,12718.983754,22488.712929,0.2
"Canada",2001,30993001,0.0036419155,11.091979,12245.925681,22687.649115,0.2
"Canada",2002,31315001,0.0033954296,11.1398089,12038.410918,23156.143007,0.2
"Canada",2003,31646001,0.0033299925,11.1837898,13668.372801,23407.966893,0.2
"Canada",2004,31979001,0.0033872792,11.2235899,NA,23942.362194,0.2
"Canada",2005,32307001,0.0036096369,11.2588661,NA,24484.812299,0.2
"Canada",2006,32628001,0.0036983224,11.2892631,NA,24952.036815,0.2
"China",1961,660993001,0.003635249,2.38882372,2193.4293902,566.74088155,0
"China",1962,673852001,0.0106946202,2.49154853,2344.8661547,566.76151679,0
"China",1963,687913001,0.0100806917,2.59700444,2491.9631557,608.71478598,0
"China",1964,703333001,0.0103474921,2.70495385,2632.5603347,664.20529063,0
"China",1965,720171001,0.012064273,2.81516832,2774.2970422,723.23337533,0
"China",1966,738483001,0.0111634681,2.92742862,2904.1476561,767.54544018,0
"China",1967,758113001,0.0113286394,3.04152471,2833.162756,728.13408684,0
"China",1968,778635001,0.0118755531,3.15725574,2757.9140265,696.45954987,0
"China",1969,799468001,0.0119868881,3.27443005,2726.69542,736.34837151,0
"China",1970,820147001,0.0119173917,3.39286516,2930.3820035,803.0258454,0
"China",1971,840571001,0.0106570037,3.51238781,2895.3713382,820.72401832,0
"China",1972,860696001,0.0099175624,3.63283392,2815.7261403,826.29417395,0
"China",1973,880179001,0.0089814807,3.75404859,3019.3052327,869.18568269,0
"China",1974,898634001,0.0076709747,3.87588612,3027.9117217,866.01524977,0
