Year,Country/Aggregate,dN/Ndt  PerCap Pop Growth Rate (corrected),Mean Years of Education (Interpolated from Barro & Lee 2010),Population,Food: Daily Per Capita KCal,PerCapita GDP,HIv Prevalence (% Ages 15-49) (WHO)
1961,Argentina,0.00686654,5.62108046,21021001,6177.754895,5862.841649,0
1962,Argentina,0.00673964,5.70398853,21356001,5607.157763,5678.233225,0
1963,Argentina,0.006557762,5.788472036,21690001,5876.187756,5456.440482,0
1964,Argentina,0.006401914,5.874393344,22020001,5475.441373,5927.126658,0
1965,Argentina,0.006232291,5.961616263,22347001,5867.847592,6371.747338,0
1966,Argentina,0.00606856,6.050006046,22670001,5982.502846,6321.604235,0
1967,Argentina,0.006078083,6.139429387,22989001,6257.083942,6399.951785,0
1968,Argentina,0.006214617,6.229754426,23313001,6005.177129,6578.756622,0
1969,Argentina,0.006452744,6.320850745,23649001,6263.925912,7038.280383,0
1970,Argentina,0.006714732,6.412589369,24003001,6530.810342,7302.966217,0
1971,Argentina,0.006928216,6.504842768,24377001,6655.358191,7530.937018,0
1972,Argentina,0.007078256,6.597484854,24769001,6102.577801,7635.565559,0
1973,Argentina,0.007117497,6.690390982,25176001,6491.671806,7962.973879,0
1974,Argentina,0.007069518,6.78343795,25592001,6851.423632,8335.083602,0
1975,Argentina,0.007054853,6.876504002,26012001,6416.279611,8123.497305,0
1976,Argentina,0.007022905,6.969468822,26438001,6446.002698,7966.20183,0
1977,Argentina,0.006927051,7.06221354,26869001,6510.136088,8305.381424,0
1978,Argentina,0.006771314,7.154620728,27301001,6606.305642,7808.247683,0
1979,Argentina,0.006590236,7.2465744,27730001,6212.998678,8227.909848,0
1980,Argentina,0.006370134,7.337960016,28154001,5785.528922,8206.979887,0
1981,Argentina,0.006173154,7.428664479,28570001,6031.636032,7603.649927,0
1982,Argentina,0.006071858,7.518576133,28979001,6830.339537,7243.946428,0
1983,Argentina,0.006075584,7.607584766,29387001,6726.131791,7383.650483,0
1984,Argentina,0.006164208,7.695581613,29801001,7252.719793,7425.731127,0
1985,Argentina,0.006276247,7.782459347,30227001,7476.978864,6835.249284,0
1986,Argentina,0.006326426,7.868112087,30667001,7513.476657,7224.567893,0
1987,Argentina,0.006345639,7.952435396,31117001,7379.662232,7299.870956,0
1988,Argentina,0.006308482,8.035326278,31575001,7911.648651,7057.134187,0
1989,Argentina,0.006204793,8.116683183,32037001,7472.870353,6523.798158,0
1990,Argentina,0.00607786,8.196406003,32498001,7762.520908,6436.609594,0.3
1991,Argentina,0.005980976,8.274396072,32956001,7779.233846,7017.843345,0.3
1992,Argentina,0.005861257,8.350556171,33413001,8228.730739,7587.171244,0.3
1993,Argentina,0.005770551,8.424790519,33867001,8221.953181,7918.664558,0.3
1994,Argentina,0.005682392,8.497004784,34320001,8768.983243,8275.016219,0.3
1995,Argentina,0.005596672,8.567106073,34772001,8797.165186,7942.306876,0.3
1996,Argentina,0.005488942,8.635002939,35223001,9000.880912,8285.113431,0.3
1997,Argentina,0.005324231,8.700605377,35671001,9522.629088,8853.057502,0.3
1998,Argentina,0.005069596,8.763824825,36111001,10828.339,9089.206207,0.3
1999,Argentina,0.004776022,8.824574165,36535001,11407.84392,8685.104964,0.3
2000,Argentina,0.004433226,8.882767723,36939001,10973.7933,8521.456426,0.4
2001,Argentina,0.004146428,8.938321268,37318001,10602.55909,8068.351901,0.4
2002,Argentina,0.003981591,8.99115201,37676001,11068.23848,7131.700891,0.4
2003,Argentina,0.003968056,9.041178606,38023001,13105.21391,7693.52478,0.4
2004,Argentina,0.004055487,9.088321154,38372001,,8300.457306,0.4
2005,Argentina,0.004162367,9.132501196,38732001,,8960.643721,0.4
2006,Argentina,,9.173641717,39105001,,9612.904909,0.4
1961,Canada,0.008164953,8.380222936,18284001,8246.773448,8833.745004,0
1962,Canada,0.007716681,8.444903088,18631001,9814.686789,9277.909344,0
1963,Canada,0.007806935,8.509369598,18965001,10504.69185,9567.381691,0
1964,Canada,0.008221173,8.573760554,19309001,9755.189762,10000.36432,0
1965,Canada,0.008739493,8.638202304,19678001,10500.03692,10473.91669,0
1966,Canada,0.009075779,8.702809452,20078001,10839.31823,10947.13511,0
1967,Canada,0.009014496,8.76768486,20502001,9662.90654,11079.26999,0
1968,Canada,0.008444738,8.83291965,20932001,10097.67263,11480.06409,0
1969,Canada,0.007544367,8.898593197,21343001,11431.9454,11913.35222,0
1970,Canada,0.006569369,8.964773139,21717001,12120.35856,12051.49052,0
1971,Canada,0.005791722,9.031515367,22048001,12453.26089,12562.92569,0
1972,Canada,0.005235669,9.098864033,22344001,10432.28958,13073.49433,0
1973,Canada,0.00500248,9.166851544,22615001,10778.39058,13838.89534,0
1974,Canada,0.005001817,9.235498568,22877001,10191.16081,14205.68902,0
1975,Canada,0.00511182,9.304814027,23142001,11349.63399,14317.26252,0
1976,Canada,0.005144003,9.374795104,23416001,10243.36582,14903.39184,0
1977,Canada,0.005120017,9.445427236,23695001,10766.54329,15223.68074,0
1978,Canada,0.004952921,9.516684122,23976001,10871.32172,15681.20036,0
1979,Canada,0.004719961,9.588527715,24251001,11504.23022,16171.14528,0
1980,Canada,0.004476394,9.660908227,24516001,10918.70676,16176.70639,0
1981,Canada,0.004291861,9.733764129,24770001,11648.41814,16473.4498,0
1982,Canada,0.004335812,9.807022147,25016001,11444.51861,15780.40552,0
1983,Canada,0.004650208,9.880597267,25267001,10808.81465,16077.4133,0
1984,Canada,0.005139039,9.954392732,25539001,10336.80731,16836.82473,0
1985,Canada,0.005676478,10.02830004,25843001,11662.23527,17583.06895,0
1986,Canada,0.0061269,10.10219895,26183001,11677.23752,17863.10397,0
1987,Canada,0.006315764,10.17595749,26555001,11818.57482,18349.15459,0
1988,Canada,0.006193452,10.24943191,26944001,10804.03963,18994.07673,0
1989,Canada,0.005839925,10.32246676,27331001,10707.74047,19109.48707,0
1990,Canada,0.005452901,10.39489482,27701001,11148.32118,18873.38851,0.1
1991,Canada,0.00514055,10.46653714,28051001,10491.54065,18263.45915,0.2
1992,Canada,0.004838392,10.53720302,28385001,10353.59422,18147.71431,0.2
1993,Canada,0.004590496,10.60669002,28703001,12544.95573,18310.11643,0.2
1994,Canada,0.004379477,10.67478397,29008001,12316.5412,18942.75442,0.2
1995,Canada,0.004174309,10.74125895,29302001,12057.8331,19238.78455,0.2
